100 685
0 5 48
0 13 77
0 25 81
0 31 30
0 37 95
0 42 63
0 87 34
0 95 24
1 20 10
1 43 21
1 52 82
1 65 92
2 10 39
2 20 93
2 23 8
2 27 35
2 39 25
2 67 34
2 70 67
2 71 58
2 72 78
2 77 28
2 85 7
2 86 36
2 99 47
3 5 45
3 26 56
3 36 34
3 72 13
3 90 7
3 95 77
4 29 29
4 41 12
4 49 58
5 3 100
5 15 1
5 22 27
5 24 10
5 46 3
5 76 6
5 80 1
5 86 12
5 94 47
6 2 88
6 36 14
6 40 32
6 79 49
6 90 51
7 10 24
7 22 65
7 48 18
7 54 92
7 68 4
7 73 15
8 3 24
8 13 41
8 18 30
8 50 39
8 56 18
8 58 87
8 62 77
8 64 77
8 90 12
8 98 2
9 3 27
9 22 97
9 30 24
9 73 94
9 78 19
9 89 52
9 92 25
10 11 32
10 17 32
10 31 47
10 35 53
10 42 20
10 47 40
10 50 96
10 54 66
10 56 3
10 57 81
10 66 70
10 69 91
10 73 49
10 91 93
10 93 43
11 8 83
11 26 98
11 29 57
11 31 60
11 34 10
11 58 26
11 77 48
11 79 45
11 86 79
12 13 32
12 44 19
12 52 83
12 67 90
12 74 15
12 79 71
12 84 18
12 90 10
13 54 11
13 60 39
13 70 44
13 76 24
13 79 1
14 2 2
14 4 83
14 11 79
14 37 56
14 38 71
14 60 7
14 82 9
14 86 33
15 8 100
15 10 76
15 22 26
15 26 40
15 27 53
15 45 12
15 66 36
15 70 59
15 91 24
16 13 62
16 25 46
16 31 67
16 35 34
16 60 28
16 67 63
16 80 89
16 81 97
16 93 73
16 99 21
17 4 34
17 6 16
17 10 72
17 22 31
17 31 61
17 33 90
17 38 1
17 39 75
17 46 35
17 59 67
17 66 9
17 74 25
17 86 31
17 94 78
18 11 39
18 20 73
18 40 31
18 87 34
19 6 68
19 10 59
19 16 26
19 28 49
19 48 65
19 64 45
19 81 72
20 4 66
20 12 62
20 15 58
20 24 27
20 35 85
20 46 50
20 52 5
20 57 57
20 58 37
20 63 19
20 67 39
20 69 73
20 78 23
20 88 17
20 90 65
21 4 56
21 20 57
21 30 61
21 54 46
22 3 48
22 17 64
22 30 60
22 32 63
22 56 36
22 61 13
22 63 69
22 74 66
22 87 95
23 41 56
23 55 22
23 60 87
23 95 70
23 98 63
24 9 14
24 21 27
24 31 67
24 39 37
24 63 63
24 67 50
24 73 43
24 74 39
25 26 7
25 27 85
25 31 53
25 38 22
25 40 29
25 67 75
25 81 7
25 85 96
25 88 55
26 34 19
26 45 31
26 48 33
26 49 52
26 72 41
26 81 38
27 6 94
27 9 16
27 58 77
27 75 98
27 77 5
27 83 88
27 98 75
28 30 32
28 37 99
28 45 29
28 48 17
28 54 77
28 64 100
28 67 98
28 91 36
29 12 50
29 13 65
29 18 100
29 33 94
29 44 18
29 45 35
29 52 49
29 72 81
29 89 74
29 96 19
30 21 4
30 39 93
30 77 74
30 85 57
30 97 16
30 99 31
31 17 39
31 25 28
31 60 78
31 77 82
31 89 6
31 90 4
31 91 25
32 16 75
32 26 20
32 27 15
32 40 63
32 49 72
32 62 10
32 63 50
32 97 79
33 10 69
33 15 97
33 51 89
33 55 92
33 76 3
33 90 91
34 30 68
34 31 65
34 50 91
35 5 76
35 6 99
35 13 63
35 19 66
35 43 37
35 44 14
35 60 3
35 75 13
36 19 65
36 34 27
36 35 3
36 49 48
36 60 4
36 61 4
36 70 59
36 98 47
37 10 83
37 14 47
37 29 41
37 50 70
37 75 39
37 87 6
37 93 13
38 7 15
38 27 31
38 71 74
38 85 7
38 88 22
38 92 60
38 95 13
39 10 68
39 30 44
39 63 50
39 70 2
39 75 27
40 15 95
40 65 67
40 66 71
40 95 65
41 9 77
41 15 39
41 23 99
41 30 67
41 43 66
41 47 3
41 73 4
41 90 92
42 51 27
42 70 67
42 71 100
42 92 4
42 93 61
43 7 1
43 11 23
43 19 59
43 22 65
44 21 40
44 45 46
44 56 45
44 98 88
45 22 82
45 57 68
45 73 12
45 85 33
46 40 7
46 77 74
46 84 66
46 89 82
47 5 7
47 10 60
47 28 69
47 30 71
47 35 45
47 37 19
47 61 93
47 71 69
48 10 65
48 11 91
