100 688
0 25 59
0 32 60
0 54 33
0 80 11
0 86 6
0 93 38
1 9 47
1 11 63
1 12 65
1 14 35
1 32 25
1 47 26
1 62 12
1 64 10
1 66 23
1 82 54
1 83 23
1 85 80
1 94 93
2 10 56
2 11 97
2 43 15
2 88 81
3 33 79
3 40 5
3 58 99
3 83 98
3 90 34
4 15 35
4 45 8
4 56 89
4 63 51
4 77 72
4 80 47
4 87 45
5 27 77
5 41 80
5 43 57
5 45 33
5 70 42
5 77 88
5 83 96
5 86 40
6 9 38
6 40 10
6 82 31
7 2 50
7 3 99
7 27 83
7 32 97
7 39 39
8 19 48
8 37 62
8 60 37
8 61 44
8 74 58
8 78 19
8 79 53
9 4 40
9 19 92
9 20 10
9 24 54
9 60 22
9 66 83
9 67 14
9 87 100
9 93 99
10 2 53
10 41 14
10 56 46
10 75 34
10 80 36
10 96 29
11 16 7
11 22 23
11 32 1
11 36 44
11 46 49
11 49 62
11 67 3
11 90 3
11 96 3
12 21 27
12 32 78
12 81 53
12 91 22
12 94 28
13 42 15
13 43 47
13 44 18
14 20 36
14 34 91
14 64 90
15 12 89
15 16 71
15 23 92
15 29 30
15 41 12
15 45 33
15 46 92
15 47 31
15 70 20
15 71 90
15 73 52
16 2 43
16 20 57
16 33 48
16 35 41
16 49 27
16 63 96
16 82 55
16 94 90
16 96 84
16 99 96
17 54 54
17 56 25
17 57 98
17 95 84
17 96 26
18 2 74
18 27 12
18 34 49
18 47 59
18 50 26
18 59 32
18 72 29
18 82 89
19 20 22
19 39 11
19 66 19
19 82 3
19 93 58
19 97 12
20 4 51
20 8 75
20 10 83
20 53 7
20 54 83
20 59 87
20 65 89
20 72 29
20 75 85
20 95 46
21 2 85
21 11 33
21 16 71
21 28 42
21 29 20
21 37 35
21 54 7
21 56 76
21 72 78
21 81 76
21 88 67
22 46 68
22 49 36
22 72 59
22 86 74
23 20 65
23 32 81
23 45 70
23 47 9
23 79 49
23 81 65
23 87 67
24 4 72
24 10 53
24 39 25
24 51 97
24 60 36
24 64 59
25 1 94
25 4 72
25 5 52
25 11 45
25 16 48
25 17 27
25 18 29
25 33 100
25 41 86
25 50 30
25 79 74
25 85 61
25 90 55
25 92 63
25 95 51
26 18 56
26 32 4
26 41 1
26 58 3
26 75 14
27 13 55
27 19 1
27 40 23
27 49 40
