100 686
0 3 19
0 18 78
0 27 14
0 30 47
0 31 22
0 32 2
0 42 59
0 48 46
0 64 3
1 10 46
1 15 15
1 24 9
1 27 76
1 50 85
1 58 85
1 70 80
1 77 52
1 82 31
1 92 78
2 22 77
2 39 35
2 68 12
3 21 89
3 25 10
3 30 59
3 36 14
3 51 65
3 55 33
3 59 44
3 62 27
3 81 40
3 95 33
4 12 22
4 16 15
4 23 21
4 27 81
4 28 3
4 39 88
4 42 30
4 47 59
4 57 28
4 67 80
4 70 25
4 76 62
4 79 5
4 86 8
4 87 71
4 88 7
5 17 23
5 18 5
5 30 65
5 44 100
5 51 12
5 54 5
5 60 65
5 76 18
5 77 22
6 10 95
6 29 34
6 39 57
6 50 32
6 75 7
6 82 47
6 84 4
6 85 15
7 13 7
7 36 82
7 58 30
7 61 27
7 64 30
7 73 41
7 83 68
7 88 20
8 14 39
8 18 2
8 85 76
8 88 9
8 93 39
8 96 1
9 33 28
9 48 35
9 70 71
10 8 9
10 33 73
10 70 96
11 5 28
11 14 56
11 19 22
11 31 10
11 35 5
11 64 3
11 68 41
11 90 77
12 29 16
12 31 24
12 55 33
12 93 65
13 12 23
13 34 57
13 40 79
13 54 42
13 72 82
14 9 93
14 21 39
14 46 82
14 64 86
14 76 66
14 82 35
14 86 49
14 98 49
15 21 2
15 47 30
15 68 30
15 86 46
16 36 67
16 45 84
16 47 78
16 52 68
16 79 11
16 85 78
16 91 10
17 2 92
17 15 19
17 16 77
17 20 72
17 21 96
17 35 92
17 49 99
17 59 83
17 60 58
17 68 40
17 87 20
18 17 68
18 21 19
18 25 26
18 34 35
18 71 79
18 78 53
19 13 42
19 25 98
19 31 84
19 81 65
19 92 21
20 7 48
20 17 48
20 21 61
20 22 50
20 49 30
20 56 34
20 65 70
20 98 37
21 45 83
21 60 34
21 69 95
21 92 13
21 93 81
22 2 5
22 15 3
22 19 15
22 27 34
22 33 12
22 44 38
22 96 77
23 5 42
23 11 18
23 15 80
23 39 13
23 47 22
23 50 50
23 72 36
23 83 75
23 84 65
24 3 48
24 10 83
24 62 50
24 63 25
24 80 95
24 83 78
24 85 75
24 94 51
25 18 22
25 57 77
25 65 6
25 72 30
25 73 8
25 82 7
26 6 97
26 29 31
26 56 43
26 75 12
26 77 70
26 79 51
27 23 81
27 43 26
27 71 80
27 87 82
28 6 49
28 27 11
28 55 8
28 59 93
28 72 98
28 77 30
28 78 57
28 80 43
28 85 40
28 92 97
29 40 51
29 45 24
29 56 43
29 65 30
29 69 8
29 70 71
29 81 22
29 93 73
30 4 73
30 35 21
30 36 42
30 46 83
30 50 48
30 54 93
30 80 99
30 86 5
31 1 60
31 20 78
31 27 66
31 37 77
31 41 29
31 50 100
31 62 37
31 90 77
31 96 35
32 19 71
32 23 93
32 37 84
32 41 33
32 42 50
32 59 35
32 62 33
32 66 91
32 97 51
33 22 76
33 37 47
33 49 48
33 76 64
33 81 60
34 9 96
34 16 64
34 20 43
34 40 51
34 71 76
35 25 16
35 29 39
35 33 99
35 57 2
35 66 69
35 69 32
35 82 90
35 91 42
36 2 31
36 4 14
36 46 67
36 49 32
36 50 51
36 60 63
36 76 30
36 94 30
37 28 51
37 38 44
37 47 75
37 77 27
37 84 55
38 6 40
38 15 74
38 37 38
38 44 65
38 50 55
38 98 78
39 36 58
39 46 25
39 47 37
39 52 94
39 57 94
39 74 100
39 83 100
39 98 2
40 8 25
40 9 20
40 12 28
40 43 91
40 52 86
40 57 76
40 62 43
40 71 97
40 85 69
40 98 4
41 3 18
41 6 43
41 9 17
41 31 27
41 48 17
41 69 13
41 72 47
41 75 88
41 83 8
41 92 31
41 96 71
42 17 60
42 25 83
42 56 9
42 57 82
42 60 45
42 80 68
42 97 33
43 3 45
43 9 37
43 10 100
43 17 41
43 46 58
43 48 87
43 55 43
44 12 62
44 17 88
44 28 93
44 30 79
44 31 43
44 38 38
44 52 3
44 58 20
44 92 96
44 96 76
45 16 58
45 30 15
45 59 35
45 83 77
45 86 69
45 93 95
46 2 9
46 21 24
46 24 17
46 65 60
46 73 29
46 77 97
46 83 63
46 91 16
46 98 87
47 14 69
47 42 19
47 46 57
47 53 50
47 69 12
47 86 37
48 17 40
48 45 27
48 58 40
48 62 62
48 65 21
48 88 6
48 94 99
49 1 37
49 21 7
49 25 13
49 29 84
49 33 94
49 52 14
49 55 12
49 67 14
50 2 47
50 3 29
50 9 98
50 15 2
50 27 60
50 55 72
50 62 12
50 93 92
51 44 53
51 74 90
52 11 17
52 39 87
52 48 72
52 62 11
52 64 25
53 16 83
53 46 70
53 69 47
53 80 50
54 6 2
54 18 55
54 25 38
54 27 33
54 45 80
54 52 1
54 73 85
54 81 41
54 97 55
55 11 22
55 15 18
55 22 89
55 30 69
55 35 40
55 42 4
55 68 20
56 31 25
56 44 85
56 60 72
56 75 71
56 90 81
56 95 93
57 26 11
57 28 82
57 52 51
57 59 23
57 70 58
57 90 17
58 15 23
58 22 2
58 41 42
58 42 81
58 63 81
58 66 15
58 85 46
58 87 65
58 97 56
59 9 71
59 12 29
59 17 8
59 33 54
59 45 74
59 74 54
59 75 66
59 78 33
59 98 31
60 18 49
60 28 49
60 51 37
60 57 94
60 62 21
60 70 34
60 84 65
61 33 22
61 48 67
61 52 87
61 59 8
61 65 81
61 67 76
61 69 64
61 73 91
61 84 82
61 93 46
62 14 41
62 39 46
62 42 46
62 43 39
62 93 83
63 8 45
63 16 2
63 26 59
63 45 56
63 68 31
63 86 17
64 5 75
64 6 57
64 9 77
64 15 43
64 50 11
64 73 19
64 88 82
64 89 37
65 7 53
65 33 18
65 91 64
66 7 18
66 41 14
66 50 84
67 15 58
67 17 55
67 59 24
67 72 42
67 73 60
67 91 47
68 48 25
68 98 89
68 99 9
69 1 70
69 23 90
69 26 20
69 46 76
69 53 56
69 54 2
69 82 67
69 88 17
70 7 5
70 57 65
70 59 33
70 75 28
70 77 81
70 78 26
70 90 69
71 3 12
71 20 16
71 31 61
71 85 52
72 20 34
72 29 48
72 33 70
72 59 53
72 65 22
72 67 42
72 70 95
73 7 99
73 12 26
73 34 49
73 45 54
73 53 60
73 61 57
74 6 69
74 11 85
74 52 43
74 71 80
74 84 59
74 97 48
74 98 81
75 24 38
75 36 60
75 51 32
75 53 79
75 58 97
75 65 71
75 97 56
75 99 53
76 29 100
76 33 34
76 40 61
76 52 21
76 53 74
76 55 58
76 78 12
76 79 44
76 90 72
76 91 51
76 94 11
77 49 27
77 50 3
77 53 70
77 76 44
77 86 100
77 88 45
78 1 59
78 3 79
78 5 41
78 47 7
78 49 86
78 58 57
78 62 2
78 79 50
78 91 29
78 92 66
79 7 24
79 9 50
79 11 42
79 53 7
80 12 71
80 18 65
80 59 15
80 62 54
80 65 17
80 81 37
80 82 65
80 88 35
81 11 69
81 20 94
81 23 74
81 24 27
81 25 6
81 28 48
81 40 7
81 49 12
81 56 24
81 96 29
81 97 33
82 9 98
82 64 19
82 73 64
83 27 25
83 31 83
83 56 61
83 58 60
83 77 67
83 79 8
83 96 86
84 22 99
84 35 37
84 37 56
84 44 75
84 50 6
85 7 43
85 43 13
85 61 63
85 71 26
86 6 99
86 14 86
86 37 27
86 51 3
86 58 57
86 63 2
86 74 92
86 91 44
87 10 52
87 19 69
87 67 80
87 69 17
87 70 69
87 74 10
87 84 81
87 88 52
88 3 84
88 30 92
88 37 31
88 72 66
88 90 56
89 21 47
89 72 5
89 80 50
89 85 6
90 8 69
90 31 36
90 38 18
90 41 81
90 95 37
91 6 4
91 52 4
91 78 95
91 82 99
91 98 9
92 7 79
92 39 63
92 41 85
92 46 76
92 56 80
92 58 2
92 72 43
92 73 5
93 14 89
93 17 31
