100 684
0 20 88
0 25 43
0 36 54
0 46 41
0 56 85
0 57 69
0 59 14
0 68 93
0 72 54
0 83 89
1 49 100
1 54 47
1 70 98
1 87 44
1 88 73
2 6 2
2 24 66
2 34 70
2 44 100
2 45 82
2 52 28
2 64 29
2 74 27
2 87 6
2 94 61
3 7 80
3 28 62
3 50 90
3 94 89
4 10 99
4 21 69
4 35 27
4 36 16
4 52 27
4 65 62
4 85 12
4 95 84
5 27 17
5 39 39
5 46 68
5 67 60
5 69 15
5 75 2
6 25 91
6 26 47
6 34 60
6 63 81
6 82 44
6 93 72
7 9 75
7 11 51
7 25 43
7 33 66
7 34 14
7 37 50
7 85 44
7 87 57
8 1 53
8 3 75
8 35 24
8 42 67
8 58 89
8 70 17
8 73 49
9 7 44
9 12 10
9 27 81
9 39 24
9 49 2
9 74 62
9 75 3
9 84 31
9 99 50
10 3 7
10 33 39
10 74 36
10 84 37
11 16 96
11 35 55
11 68 92
11 76 82
11 87 85
11 90 24
12 1 74
12 60 95
12 65 74
12 70 76
12 72 81
12 74 21
12 90 31
13 26 96
13 29 24
13 37 42
13 41 34
13 43 15
13 70 75
13 82 32
13 94 63
14 17 24
14 30 41
14 48 22
14 49 39
14 71 89
14 73 16
14 85 62
14 92 82
14 99 22
15 11 80
15 19 94
15 21 54
15 47 76
15 54 54
15 64 62
15 83 60
15 84 49
16 27 39
16 33 2
16 43 43
16 45 61
16 70 18
16 78 11
17 29 99
17 81 62
18 9 37
18 33 81
18 37 64
18 49 66
18 54 30
18 58 17
18 59 78
18 97 7
19 13 40
19 21 87
19 25 87
19 30 6
19 54 48
19 57 28
19 71 42
19 87 39
20 5 88
20 11 43
20 60 74
20 63 93
20 66 8
20 69 46
20 74 4
20 91 100
20 92 64
20 96 57
21 2 78
21 10 29
21 46 15
21 56 8
21 71 13
21 86 84
21 90 69
22 11 86
22 12 57
22 20 21
22 46 70
22 51 97
22 65 37
22 74 57
23 56 92
23 58 87
23 68 97
23 75 88
23 77 99
23 92 63
23 99 82
24 2 57
24 11 86
24 37 78
24 38 12
24 42 54
24 43 24
24 46 14
24 52 30
24 59 94
24 75 94
24 77 10
24 81 56
24 86 2
24 89 69
25 17 46
25 59 55
25 63 95
25 93 95
26 14 89
26 16 62
26 42 54
26 47 71
26 51 86
26 57 43
26 60 65
26 92 17
27 4 24
27 30 44
27 45 97
27 54 80
27 57 68
27 61 90
27 64 20
27 69 61
28 24 23
28 34 99
28 40 45
28 45 62
28 61 22
28 66 73
28 71 23
28 93 52
29 43 81
29 77 28
30 5 71
30 28 47
30 33 48
30 49 68
30 58 34
30 73 87
30 77 86
30 84 42
30 88 11
30 99 65
31 11 84
31 16 54
31 73 91
31 87 47
32 4 16
32 46 19
32 49 37
32 76 95
32 81 39
32 84 74
33 59 77
33 61 3
33 98 38
34 6 74
34 16 99
34 17 97
34 22 85
34 48 29
34 56 20
34 59 79
34 64 18
34 84 31
34 96 24
34 98 15
35 26 49
35 28 4
35 34 71
35 46 82
35 73 89
36 17 27
36 28 99
36 59 65
36 86 44
37 4 80
37 14 78
37 56 73
37 80 83
37 81 10
37 97 93
38 8 32
38 23 50
38 55 26
38 66 92
38 73 7
38 93 65
39 2 96
39 23 62
39 35 66
39 43 36
39 60 30
39 64 60
39 71 82
39 76 71
40 72 89
40 81 100
40 86 17
40 88 80
41 6 95
41 18 44
41 63 74
41 73 42
41 76 69
41 77 77
41 79 46
41 80 97
42 17 71
42 19 56
42 21 38
42 23 26
42 37 28
42 51 3
42 69 30
42 73 62
43 2 69
43 3 26
43 11 25
43 14 84
43 27 44
43 36 72
43 38 33
43 50 15
43 57 13
43 65 40
43 68 10
43 91 2
44 21 95
44 23 13
44 28 33
44 46 37
44 49 32
44 72 54
44 77 64
44 84 46
44 92 5
45 8 4
45 41 63
45 69 22
46 10 5
46 31 68
46 49 9
46 51 97
46 71 5
46 73 54
46 84 64
46 88 85
46 89 25
47 12 21
47 21 48
47 22 82
47 38 30
47 44 14
47 52 73
47 65 73
47 66 46
47 71 66
47 86 87
47 90 32
47 98 41
48 5 81
48 13 40
48 25 89
48 29 42
48 43 49
48 65 6
48 67 86
48 97 97
49 15 8
49 16 47
49 23 28
49 24 55
49 33 49
49 41 21
49 92 52
49 94 70
50 3 75
50 17 34
50 19 26
50 21 78
50 23 23
50 31 70
50 73 62
51 28 43
51 29 65
51 31 25
51 56 77
51 65 13
51 70 100
51 79 75
52 36 77
52 53 51
52 66 80
52 69 12
52 92 11
52 99 2
53 22 31
53 24 28
53 34 60
53 58 36
53 60 89
53 67 22
53 72 16
53 91 83
54 9 73
