100 689
0 29 75
0 32 22
0 42 54
0 54 17
0 55 64
0 64 32
0 65 34
0 86 78
0 90 80
0 99 16
1 36 66
1 42 51
1 45 65
1 72 8
1 88 78
2 28 25
2 47 90
2 68 28
2 77 18
2 93 61
3 18 84
3 22 55
3 69 27
3 80 86
3 90 27
3 93 24
3 99 7
4 13 45
4 14 31
4 18 45
4 67 9
5 14 88
5 19 3
5 25 69
5 28 49
5 33 22
5 35 65
5 47 14
5 53 16
5 57 31
5 62 82
5 64 24
5 74 45
5 86 65
5 87 69
6 21 16
6 46 60
6 51 83
6 53 14
6 61 88
6 62 16
6 71 4
6 82 90
6 86 31
6 87 60
6 90 83
7 16 35
7 23 27
7 33 73
7 70 6
7 72 25
7 83 46
7 92 16
8 17 36
8 45 97
8 59 20
8 78 93
8 90 25
8 91 70
8 97 83
9 1 21
9 27 64
9 28 92
9 34 17
9 52 45
9 88 89
9 89 56
10 32 16
10 57 38
10 61 81
10 67 96
10 72 53
11 1 33
11 7 84
11 17 81
11 20 30
11 46 84
11 54 58
11 68 88
11 83 52
11 85 3
12 41 16
12 42 36
12 50 98
12 59 84
13 40 83
13 47 69
13 80 49
13 83 92
13 84 67
13 92 55
14 7 70
14 15 13
14 34 76
14 45 5
14 83 18
14 85 85
15 9 3
15 30 76
15 47 59
15 80 79
16 50 82
16 57 93
16 60 72
16 75 61
16 93 64
17 13 78
17 14 49
17 57 2
17 64 58
17 79 59
17 99 18
18 31 6
18 33 80
18 55 46
18 58 28
18 61 18
18 65 48
18 72 54
18 88 21
19 2 55
19 18 80
19 68 45
19 79 67
19 95 46
19 99 11
20 7 39
20 13 91
20 58 68
20 59 91
20 65 74
20 70 42
20 87 58
21 1 93
21 9 94
21 12 85
21 32 26
21 60 93
22 30 2
22 35 91
22 51 93
22 75 64
22 87 17
23 21 87
23 22 20
23 35 82
23 90 95
23 99 60
24 32 32
24 33 78
24 38 58
24 39 56
24 40 98
24 44 55
25 3 57
25 17 75
25 30 76
25 39 92
25 51 45
25 62 8
25 80 60
26 5 78
26 9 57
26 29 88
26 58 16
26 77 72
26 81 85
26 92 7
27 1 85
27 4 1
27 33 7
27 47 84
27 48 61
27 51 51
27 64 56
27 68 80
27 69 24
27 70 66
27 77 68
27 97 74
28 6 11
28 69 71
29 14 58
29 69 47
29 85 60
30 13 51
30 19 90
30 32 40
30 54 91
30 61 40
30 69 9
30 81 7
30 96 99
31 13 90
31 28 50
31 32 39
31 53 36
31 88 53
31 93 49
32 2 22
32 3 34
32 13 71
32 16 1
32 17 54
32 40 26
32 64 84
32 79 63
32 83 96
32 90 81
32 98 73
33 3 78
33 25 78
33 52 92
33 95 64
33 97 94
34 7 40
34 17 65
34 61 75
34 86 81
34 95 23
34 96 21
35 13 88
35 15 88
35 28 3
35 39 81
35 40 85
35 41 14
35 45 50
35 47 90
35 57 11
35 59 59
35 63 87
35 83 21
35 84 82
35 96 77
36 13 82
36 14 84
36 29 35
36 37 17
36 60 53
36 70 24
36 77 75
36 93 28
37 3 90
37 10 79
37 16 65
37 18 92
37 20 98
37 22 41
37 40 52
37 62 70
37 81 50
37 84 39
38 3 56
38 5 18
38 14 71
38 25 28
38 26 25
38 33 80
38 50 1
38 85 90
39 1 45
39 8 6
39 16 17
39 41 32
39 66 46
40 14 26
40 15 43
40 26 59
40 28 96
40 56 45
40 58 93
40 73 33
40 74 63
40 79 23
40 95 15
41 42 95
41 43 6
41 59 74
41 98 24
42 18 71
42 49 1
42 52 61
42 58 69
42 87 50
42 90 35
43 4 36
43 20 90
43 22 83
43 26 69
43 29 15
43 33 68
43 34 41
43 38 34
43 56 25
43 81 22
43 87 62
44 43 95
44 56 71
44 70 100
44 76 11
45 1 95
45 54 37
45 63 46
45 84 67
46 28 15
46 30 10
46 47 34
46 52 83
47 15 25
47 36 66
47 39 37
47 67 91
47 74 35
48 4 27
48 18 53
48 28 23
48 32 5
48 52 12
48 61 58
48 75 71
48 76 23
48 85 59
49 7 72
49 33 44
49 58 29
49 61 18
49 72 16
49 78 70
49 80 96
50 7 76
50 41 33
50 49 94
50 52 21
50 58 28
50 96 87
51 14 94
51 20 67
51 65 4
51 91 98
51 92 34
52 1 25
52 5 50
52 15 23
52 17 99
52 47 83
52 50 93
52 62 40
53 10 41
53 83 88
53 89 10
54 3 66
54 26 99
54 33 56
54 42 65
54 68 71
54 97 64
55 22 74
55 52 91
55 67 30
55 68 72
55 93 2
56 3 50
56 5 95
56 6 65
56 8 19
56 50 85
56 57 69
56 72 52
57 4 2
57 26 4
57 28 55
57 29 91
57 50 27
57 52 18
57 54 87
57 75 39
58 2 76
58 32 76
58 38 32
58 43 31
58 59 89
58 62 12
58 84 63
58 90 94
59 10 82
59 43 19
59 48 4
59 52 75
59 93 78
59 95 39
60 32 82
60 63 79
60 74 10
60 81 59
60 86 29
61 18 24
61 87 23
61 92 65
62 6 79
62 9 36
62 16 30
62 22 65
62 48 93
62 51 72
62 52 54
62 61 1
62 81 68
62 84 5
62 85 32
62 92 52
63 7 56
63 24 87
63 61 19
63 72 18
63 89 27
63 98 97
64 13 17
64 18 57
64 21 82
64 29 14
64 40 40
64 46 88
64 48 62
64 60 30
64 63 76
64 74 35
64 87 38
64 91 58
65 6 48
65 7 57
65 10 95
65 13 66
65 18 68
65 22 98
65 26 75
65 69 70
65 73 23
65 80 69
65 81 16
66 1 77
66 14 27
66 35 46
66 46 74
66 63 55
66 64 60
66 74 30
66 86 100
66 87 18
67 17 32
67 30 41
67 54 50
67 87 45
68 1 64
68 14 36
68 22 75
68 31 41
68 66 59
69 1 39
69 21 92
69 28 6
69 29 86
69 33 20
69 63 54
69 64 5
69 82 5
69 98 83
70 5 55
70 10 65
70 23 85
70 60 93
70 68 1
71 19 37
71 25 1
71 53 79
71 54 59
71 69 90
71 82 47
71 84 16
71 85 40
72 9 2
72 47 84
72 74 60
72 80 46
72 81 66
73 8 91
73 23 60
73 28 66
73 36 69
73 71 61
73 90 3
74 6 6
74 10 88
74 50 87
74 78 41
74 79 2
74 83 73
75 13 6
75 28 55
75 30 84
75 38 72
75 43 79
75 48 12
75 70 47
75 94 4
76 2 39
76 5 91
76 24 60
76 29 59
76 30 64
76 50 6
76 53 29
76 72 70
76 78 10
77 10 30
77 28 6
77 29 72
77 35 7
77 37 23
77 55 32
77 61 67
77 79 58
77 93 22
77 96 42
78 7 24
78 12 67
78 14 80
78 19 100
78 47 31
78 62 23
78 75 100
78 76 31
78 80 70
78 95 62
78 97 39
79 4 36
79 8 78
79 13 100
79 22 82
79 42 85
79 55 26
79 87 42
79 92 97
79 98 53
80 14 28
80 36 48
80 53 50
80 55 56
80 59 85
80 76 6
80 77 50
80 93 25
80 95 22
81 4 95
81 8 17
81 14 21
81 17 92
81 44 24
81 70 99
81 82 58
81 88 15
82 5 89
82 8 94
82 16 37
82 20 32
82 43 50
82 57 59
82 99 24
83 4 49
83 8 87
83 37 22
83 67 2
83 70 94
84 53 26
84 57 31
84 63 74
84 71 55
84 73 16
84 83 14
84 85 54
84 87 76
84 98 74
85 18 61
85 33 49
85 46 94
85 47 11
85 50 82
85 55 81
85 84 60
85 91 52
86 11 28
86 17 84
86 41 92
86 70 68
86 98 76
87 49 99
87 59 87
87 63 5
87 64 63
87 65 72
87 66 98
87 89 15
87 95 59
87 99 96
88 23 26
88 25 11
88 31 49
88 46 71
88 54 23
88 62 45
88 72 32
88 80 26
88 83 83
88 97 51
89 16 2
89 37 14
89 51 21
90 17 2
90 34 25
90 52 24
90 56 5
90 97 74
91 5 78
91 16 52
91 42 70
91 44 31
91 58 71
91 64 48
92 23 15
92 40 42
92 41 36
92 68 14
92 71 36
93 15 31
93 25 75
93 26 91
93 48 19
93 75 47
93 82 70
93 97 91
94 8 87
94 13 59
94 16 73
94 29 55
94 31 32
94 64 43
94 75 1
94 77 51
94 78 19
94 84 42
94 88 68
95 6 10
95 29 16
95 50 64
95 51 27
95 58 59
95 64 95
95 75 25
95 83 2
95 98 73
96 2 7
96 13 57
96 30 69
96 58 64
96 74 61
96 76 97
97 3 50
97 12 24
97 21 76
97 35 32
97 37 16
97 52 94
97 59 19
97 62 39
97 66 59
97 81 41
97 84 74
98 48 97
98 57 21
