100 692
0 5 73
0 6 97
0 15 7
0 28 55
0 44 39
0 72 67
0 84 76
0 97 75
1 4 2
1 27 15
1 28 75
1 41 55
2 53 76
2 54 47
2 63 35
2 73 17
2 74 82
3 2 25
3 11 80
3 20 71
3 31 34
3 41 86
3 68 62
3 70 4
3 74 16
3 79 76
3 88 32
4 1 43
4 11 15
4 27 26
4 34 53
4 44 18
4 76 97
4 84 43
5 3 9
5 26 60
5 35 56
5 40 6
5 52 96
5 53 37
5 68 48
5 90 42
6 11 93
6 16 52
6 20 39
6 30 17
6 48 85
6 72 99
6 82 31
6 85 15
6 97 45
7 35 66
7 81 71
7 84 67
8 26 97
8 69 24
8 77 31
8 86 15
9 18 51
9 32 60
9 40 32
10 15 39
10 29 46
10 31 14
10 52 24
10 59 14
10 70 59
10 72 5
10 79 14
10 87 77
10 91 28
11 33 90
11 46 45
11 56 56
11 57 63
11 63 62
11 78 22
12 29 86
12 36 98
12 44 51
12 49 26
12 71 18
12 72 65
12 93 51
12 96 32
13 16 14
13 39 48
13 40 74
13 60 44
13 76 11
13 80 56
13 90 7
14 9 55
14 23 21
14 26 42
14 27 37
14 38 77
14 39 4
14 41 27
14 49 27
14 55 95
14 59 34
14 85 87
14 89 27
14 90 73
15 1 88
15 37 54
15 38 9
15 60 42
15 62 80
15 76 79
15 81 67
15 89 51
15 91 4
16 4 58
16 10 71
16 15 5
16 24 73
16 31 25
16 33 71
16 67 3
17 14 51
17 16 96
17 37 19
17 60 24
17 69 31
18 22 94
18 25 85
18 26 23
18 79 25
18 84 19
18 97 2
19 13 72
19 21 27
19 22 63
19 32 89
19 59 94
19 61 5
19 63 6
19 97 40
19 99 61
20 2 36
20 23 91
20 24 64
20 34 2
20 56 77
20 70 54
21 12 92
21 16 35
21 36 49
21 40 25
21 51 80
21 66 87
21 88 24
22 15 84
22 37 85
22 55 6
22 71 10
22 80 62
22 92 48
23 20 32
23 22 97
23 56 58
23 65 93
23 68 33
23 69 87
24 4 81
24 21 71
24 43 54
24 50 55
24 60 61
24 72 73
25 20 17
25 29 79
25 40 74
25 46 30
25 74 41
25 85 1
25 92 17
26 13 29
26 21 71
26 30 23
26 41 63
26 53 94
26 59 83
26 67 81
26 98 86
27 3 28
27 23 74
27 48 38
27 59 48
27 60 57
27 62 39
27 68 3
27 76 54
27 93 92
28 8 20
28 10 41
28 29 49
28 44 16
28 81 11
28 85 22
29 17 6
29 21 32
29 42 97
29 46 4
29 53 51
29 66 62
29 79 5
29 83 23
29 84 29
29 86 63
30 32 100
30 44 57
30 69 88
30 82 95
31 6 20
31 49 47
31 78 50
31 96 70
31 98 44
32 34 38
32 42 8
32 46 60
32 62 30
32 69 3
32 86 51
33 23 34
33 47 55
33 61 65
33 89 91
33 97 96
34 5 88
34 10 37
34 11 24
34 73 76
34 84 47
34 99 83
35 6 32
35 21 12
35 34 60
35 46 76
35 79 87
36 2 69
36 5 57
36 8 7
36 34 55
36 70 6
37 11 84
37 18 2
37 22 36
37 28 58
37 31 70
37 32 29
37 34 40
37 45 69
37 59 3
37 98 19
37 99 12
38 4 62
38 16 18
38 34 25
38 57 80
38 87 74
38 90 48
39 6 90
39 23 24
39 25 23
39 56 53
39 58 35
39 79 62
39 94 75
40 6 25
40 9 42
40 15 46
40 17 70
40 57 93
40 76 27
41 4 93
41 24 81
41 26 1
41 33 95
41 38 96
41 65 10
41 98 72
42 13 16
42 16 62
42 20 30
42 30 15
42 56 78
42 59 23
42 74 36
42 78 39
42 94 90
43 14 73
43 15 54
43 46 76
43 47 47
43 49 82
43 63 71
43 66 100
43 74 36
43 75 48
43 81 12
43 91 67
43 93 41
44 1 26
44 6 48
44 21 44
44 40 100
44 59 91
44 71 19
45 4 96
45 14 55
45 26 16
45 49 28
45 70 74
45 76 53
46 7 19
46 29 4
46 35 99
46 38 13
46 68 50
46 70 99
46 74 91
46 85 2
46 99 9
47 52 37
47 58 100
47 63 67
47 83 18
47 95 84
48 1 42
48 19 53
48 65 82
48 87 56
48 88 5
48 90 21
49 32 69
49 39 15
49 64 3
49 99 74
50 8 17
50 33 37
50 44 94
50 65 43
50 67 51
50 69 90
50 78 69
50 80 18
50 92 54
51 37 87
51 87 35
51 96 12
52 32 34
52 60 98
52 97 3
53 9 19
53 69 36
53 88 13
53 99 32
54 21 39
54 34 93
54 35 98
54 43 70
54 67 84
54 69 24
54 73 44
54 80 28
54 86 17
54 94 8
55 24 67
55 27 20
55 40 55
55 43 29
55 45 34
55 46 99
55 53 59
55 76 39
56 10 90
56 33 31
56 43 35
56 53 86
56 87 62
56 96 7
57 2 96
57 39 28
57 42 46
57 43 23
57 47 14
57 52 14
57 55 2
57 60 71
57 62 72
57 63 68
57 65 68
57 79 84
57 93 96
58 14 44
58 23 60
58 24 24
58 36 80
58 42 66
58 71 74
58 73 16
58 90 12
59 31 17
59 32 82
59 41 69
59 50 13
59 60 62
59 64 42
59 71 59
59 83 92
60 9 67
60 19 96
60 35 77
60 47 67
60 61 74
60 83 1
61 1 54
61 16 1
61 28 45
61 84 11
62 6 86
62 16 87
62 39 71
62 42 33
62 53 62
62 92 22
63 31 42
63 42 51
63 67 18
63 75 35
63 79 70
63 87 41
64 6 70
64 34 54
64 37 49
64 46 40
64 69 27
64 81 70
65 5 87
65 18 54
65 23 82
65 31 54
65 33 49
65 36 28
65 78 41
65 86 88
66 7 86
66 23 97
66 55 38
67 44 12
67 59 34
67 62 43
67 74 4
67 85 41
67 93 79
67 98 23
68 8 52
68 13 1
68 18 18
68 35 15
68 38 8
68 78 93
68 93 57
68 94 68
69 12 57
69 16 63
69 25 28
69 62 39
69 76 50
69 85 32
70 5 54
70 30 98
70 45 34
70 55 49
70 64 65
70 97 74
71 12 23
71 13 71
71 18 16
71 19 79
71 32 30
71 38 33
71 54 54
71 65 40
71 85 47
71 98 70
72 7 57
72 13 79
72 29 52
72 32 43
72 56 47
72 87 41
73 6 14
73 39 58
73 95 43
73 97 25
73 98 16
74 30 13
