100 685
0 2 25
0 29 35
0 89 83
0 98 54
1 2 10
1 5 36
1 6 35
1 9 14
1 13 49
1 14 19
1 41 9
1 86 30
1 92 27
1 96 54
2 7 18
2 20 88
2 25 89
2 49 27
2 60 56
2 98 16
3 29 34
3 31 19
3 61 91
4 16 74
4 50 2
4 57 36
4 63 26
4 71 72
5 22 14
5 30 42
5 32 62
5 45 22
5 71 10
5 80 84
5 81 83
6 9 14
6 15 77
6 23 65
6 25 93
6 37 60
6 40 68
6 45 4
6 58 73
6 64 85
6 74 63
6 86 42
7 18 55
7 33 57
7 65 18
7 70 34
7 75 43
7 82 40
8 2 87
8 25 41
8 32 57
8 35 14
8 40 85
8 74 46
8 91 64
8 95 13
9 6 57
9 26 93
9 54 30
9 98 25
10 3 40
10 16 15
10 37 32
10 42 53
10 49 49
10 56 57
10 66 95
10 89 12
11 14 79
11 25 83
11 27 35
11 47 88
11 72 43
11 88 52
11 91 62
12 20 80
12 29 29
12 34 87
12 42 17
12 65 18
12 71 91
12 74 14
13 63 25
13 70 63
13 88 72
13 93 85
14 6 46
14 9 8
14 11 4
14 49 2
14 56 42
14 67 100
14 75 9
14 93 72
15 13 59
15 21 65
15 35 34
15 37 73
15 49 16
15 57 46
15 60 39
15 92 37
15 93 43
15 96 94
16 21 68
16 27 20
16 54 97
16 57 93
17 11 30
17 16 61
17 19 82
17 36 95
17 51 8
17 54 75
17 77 64
17 82 32
17 89 67
18 32 51
18 38 40
18 41 39
18 53 14
18 60 56
18 87 80
18 94 53
18 95 39
19 28 14
19 43 19
19 72 63
19 93 53
20 55 98
20 59 9
20 65 35
20 78 64
20 91 22
21 28 49
21 34 14
21 39 81
21 57 96
21 58 93
21 85 36
22 5 27
22 17 14
22 30 43
23 6 71
23 11 17
23 12 39
23 44 11
23 60 8
23 79 56
23 99 55
24 10 86
24 15 13
24 37 66
24 39 42
24 57 32
24 63 83
24 86 39
25 16 32
25 38 96
25 45 43
25 62 89
25 69 95
25 84 62
25 89 72
25 93 14
26 15 27
26 32 55
26 42 28
26 50 47
26 70 98
26 99 86
