100 685
0 21 17
0 38 41
0 43 71
0 70 98
0 78 23
0 96 64
1 5 29
1 7 72
1 37 60
1 40 10
1 44 51
1 47 76
1 52 22
1 58 95
1 62 66
1 79 84
1 91 32
1 92 56
2 42 93
2 55 4
2 65 92
3 1 49
3 2 14
3 8 36
3 33 61
3 56 89
3 78 43
4 36 66
4 43 71
4 51 88
4 92 91
5 40 63
5 58 62
5 59 18
5 75 36
5 77 42
5 81 41
5 90 32
6 25 94
6 27 34
6 48 1
6 73 94
6 75 73
6 77 30
6 94 51
7 11 88
7 23 87
7 70 86
8 1 68
8 31 70
8 59 96
8 86 77
9 5 7
9 28 84
9 31 76
9 36 78
9 37 40
9 42 34
9 53 92
9 57 66
9 64 47
9 69 6
9 96 22
9 97 6
10 19 67
10 25 90
10 37 51
10 41 15
10 49 79
10 64 98
10 68 25
10 97 44
10 99 92
11 5 44
11 31 60
11 34 34
11 47 63
11 62 28
11 97 70
12 5 34
12 9 48
12 11 19
12 24 35
12 39 65
12 45 91
12 81 80
12 97 74
13 38 28
13 42 17
13 49 50
14 2 75
14 16 33
14 25 5
14 31 14
14 33 54
14 41 57
14 48 47
14 78 1
14 87 71
15 1 2
15 4 50
15 10 83
15 40 1
16 1 44
16 15 89
16 25 70
16 40 100
16 41 89
16 45 90
16 52 71
16 75 61
16 88 39
17 30 47
17 36 90
17 40 52
17 79 19
17 94 77
18 29 44
18 31 82
18 59 27
18 92 24
18 96 58
19 8 5
19 10 17
19 20 11
19 41 74
19 44 44
19 48 20
19 94 52
20 16 51
20 30 10
20 34 40
20 54 59
21 2 50
21 34 38
21 38 61
21 52 75
21 74 94
21 99 12
22 25 18
22 31 67
22 38 76
22 44 45
22 47 11
22 58 59
22 64 20
23 18 69
23 38 47
23 61 19
23 64 53
23 88 60
24 2 10
24 5 84
24 14 72
24 28 69
24 34 49
24 82 50
24 86 74
25 6 100
25 10 83
25 20 79
25 35 21
25 50 74
25 56 5
25 60 23
25 85 88
25 95 40
26 15 61
26 60 84
26 84 93
26 99 2
27 1 13
27 11 38
27 26 11
27 59 96
27 72 86
27 81 34
27 88 44
28 29 60
28 49 68
28 57 62
28 73 45
28 78 99
29 72 43
29 79 98
29 80 22
29 82 51
29 92 31
30 19 94
30 32 36
30 51 94
30 54 1
30 76 5
30 94 52
31 2 64
31 3 77
31 27 51
31 32 46
31 51 13
31 65 77
31 73 80
31 74 32
31 75 60
31 77 87
32 5 20
32 14 86
32 29 82
32 34 99
32 36 94
32 45 89
32 46 63
32 78 80
32 82 21
32 85 36
33 12 79
33 17 46
33 57 59
33 60 68
33 94 96
34 3 89
34 18 66
34 28 51
34 40 97
34 56 34
34 57 69
34 59 35
34 66 63
34 74 31
34 85 56
35 19 71
35 20 13
35 33 9
35 40 23
35 48 84
35 59 94
35 67 55
35 82 52
36 23 71
36 25 48
36 53 10
36 59 35
36 62 47
36 66 70
36 69 15
36 85 77
36 87 67
36 91 94
37 2 15
37 15 74
37 35 19
37 93 30
38 40 12
38 47 85
38 83 40
38 97 7
39 24 17
39 52 23
40 5 49
40 26 92
40 27 9
40 29 68
40 69 75
40 72 41
40 80 40
40 85 100
40 91 48
41 21 65
41 27 92
41 38 93
41 76 53
42 27 22
42 33 15
42 39 94
42 51 11
42 70 13
42 76 95
42 92 15
43 3 18
43 7 87
43 8 53
43 9 84
43 31 35
43 55 24
43 56 68
43 85 40
44 21 31
44 32 5
44 47 33
44 80 45
44 91 14
44 94 76
45 1 43
45 6 10
45 21 58
45 29 60
45 49 24
45 53 83
45 55 16
45 73 38
45 86 18
46 33 88
46 36 65
46 38 24
46 49 18
46 86 11
47 7 54
47 8 96
47 21 65
47 53 86
48 34 41
48 39 59
48 49 29
48 72 53
48 79 75
48 80 97
49 2 20
49 33 37
49 54 66
49 55 31
49 58 30
49 62 65
49 65 19
50 28 35
50 49 85
50 51 33
50 52 56
50 53 99
50 62 55
50 67 50
50 69 66
50 74 1
50 76 87
50 77 45
50 81 95
50 89 74
50 97 1
51 2 61
51 4 61
51 13 30
51 22 31
51 26 79
51 41 61
51 50 75
51 55 84
51 78 51
52 5 5
52 8 30
52 27 50
52 35 51
52 54 88
52 71 38
53 11 84
53 32 46
53 45 77
53 46 83
53 86 26
54 3 18
54 7 21
54 8 25
54 15 11
54 20 57
54 29 44
54 31 45
54 33 68
54 46 84
55 27 22
55 46 28
55 73 35
55 84 2
55 95 38
56 58 39
56 75 44
56 81 14
56 85 73
56 91 65
57 11 94
57 13 47
57 23 99
57 41 5
57 46 9
57 51 38
57 56 91
57 60 95
57 66 55
57 76 21
58 14 38
58 21 99
58 35 26
58 73 93
58 81 43
58 96 95
59 5 52
59 18 81
59 32 39
59 51 74
59 53 55
59 71 37
60 22 47
60 63 58
60 71 35
60 79 93
61 8 27
61 34 61
61 37 100
61 49 18
61 63 16
61 80 44
62 6 59
62 25 29
62 37 78
62 38 51
62 44 8
62 47 17
62 53 46
62 66 52
63 13 34
63 32 90
63 67 36
63 82 24
64 5 13
64 17 15
64 33 65
