100 681
0 15 73
0 20 17
0 32 8
0 38 35
0 56 20
0 62 38
0 65 36
0 73 16
0 94 53
1 6 55
1 13 97
1 91 88
1 96 87
2 24 12
2 49 52
2 57 87
2 60 39
2 87 66
3 7 86
3 14 97
3 18 38
3 21 72
3 30 36
3 49 93
3 51 61
3 53 43
3 71 50
3 84 8
4 30 9
4 33 52
4 60 83
4 65 58
4 93 24
5 19 81
5 20 75
5 27 32
5 50 6
5 57 96
5 83 16
5 89 78
5 90 72
6 5 58
6 8 36
6 21 58
6 22 74
6 33 24
6 34 91
6 50 71
6 51 75
6 61 5
6 66 42
6 75 58
6 84 76
7 5 22
7 12 72
7 38 68
7 85 87
7 87 11
7 89 78
7 93 16
7 96 19
8 26 3
8 32 77
8 61 60
8 68 52
8 73 96
8 91 67
9 4 64
9 22 24
9 34 63
9 91 100
10 32 91
10 33 36
10 36 80
10 59 60
10 66 94
10 70 60
11 3 69
11 5 2
11 80 72
12 3 87
12 55 52
12 59 21
12 62 27
12 66 29
12 82 27
12 95 94
13 11 64
13 19 39
13 22 45
13 29 68
13 56 59
13 76 84
13 87 32
13 89 16
13 90 19
13 98 91
14 1 99
14 9 47
14 16 92
14 28 54
14 41 43
14 48 13
14 56 69
14 68 8
14 75 13
14 82 62
15 14 95
15 24 97
15 28 59
15 32 71
15 71 63
15 83 11
15 85 39
15 97 33
16 18 44
16 21 79
16 63 31
16 74 25
16 82 11
16 98 98
17 3 7
17 9 9
17 11 62
17 13 64
17 16 40
17 24 82
17 73 97
17 78 99
18 2 52
18 30 50
18 36 6
18 56 21
18 63 15
18 94 15
19 4 47
19 42 88
19 55 30
19 73 37
19 74 48
19 76 98
19 87 64
19 96 56
20 3 24
20 6 86
20 36 90
20 58 4
20 69 41
20 71 52
20 73 37
20 78 16
20 86 47
21 5 61
21 9 49
21 19 2
21 32 67
21 40 62
21 53 94
21 74 61
22 5 59
22 15 10
22 27 28
22 30 36
22 43 25
22 66 67
22 81 51
22 85 9
23 4 19
23 39 73
23 95 95
24 6 52
24 52 62
24 63 59
24 72 90
24 79 22
24 89 61
24 98 56
25 7 96
25 52 95
25 64 26
25 71 36
25 85 20
25 87 98
25 93 79
25 94 54
26 15 56
26 19 88
26 21 34
26 53 22
26 79 15
26 84 52
26 86 22
26 97 29
27 1 75
27 4 48
27 9 70
27 10 48
27 16 20
27 20 42
27 33 31
27 39 69
27 44 32
27 57 34
27 96 5
28 2 78
28 15 98
28 23 11
28 47 14
28 57 31
28 59 35
28 73 80
28 75 92
28 76 17
29 22 66
29 23 10
29 27 54
29 39 13
29 60 10
29 78 68
29 79 73
29 80 47
29 86 9
29 97 97
30 36 30
30 64 66
30 66 3
30 78 92
30 87 21
30 96 41
31 37 64
31 84 72
32 4 56
32 40 8
32 51 88
32 52 85
32 58 15
32 75 97
32 96 14
33 11 23
33 12 58
33 28 71
33 73 48
34 4 15
34 9 91
34 14 60
34 26 16
34 33 36
34 36 19
34 41 79
34 46 27
34 99 88
35 7 39
35 9 51
35 17 72
35 36 46
35 41 14
35 56 94
35 63 51
35 67 3
35 86 6
36 4 47
36 11 28
36 20 80
37 6 66
37 22 12
37 29 46
37 53 66
37 97 39
38 4 35
38 5 77
38 29 79
38 63 54
39 2 76
39 9 87
39 61 56
39 71 5
39 74 10
40 11 65
40 12 76
40 34 77
40 48 43
