100 692
0 4 49
0 13 5
0 34 24
0 37 92
0 47 51
0 77 63
1 10 23
1 36 50
1 62 30
1 79 11
1 93 81
2 4 83
2 10 32
2 14 25
2 34 57
2 68 80
2 76 7
2 94 53
3 2 88
3 27 71
3 33 27
4 12 59
4 22 5
4 25 64
4 35 70
4 42 20
4 80 14
5 24 62
5 48 45
5 93 70
6 5 72
6 13 45
6 15 58
6 28 95
6 56 57
6 71 39
6 72 52
6 74 18
6 76 65
6 80 30
6 88 45
7 15 10
7 72 98
7 89 86
8 16 95
8 45 83
8 48 24
8 84 61
8 94 55
8 96 28
9 2 55
9 35 72
9 40 23
9 62 75
9 78 22
9 81 47
9 87 84
9 93 63
10 4 30
10 40 20
10 45 62
10 50 67
10 73 5
10 86 80
10 89 89
10 90 74
10 97 8
11 24 58
11 37 16
11 50 70
11 52 49
11 56 27
11 66 18
11 74 63
11 79 29
11 90 54
12 32 23
12 55 26
12 63 41
12 76 96
13 17 73
13 20 33
13 49 26
13 76 96
14 15 45
14 20 69
14 27 55
14 90 3
15 14 32
15 19 85
15 23 44
15 33 21
15 44 64
15 45 17
15 47 17
15 55 52
15 57 73
15 70 87
15 87 99
15 99 72
16 36 21
16 45 29
16 65 5
16 66 26
16 67 44
16 80 40
16 98 69
16 99 7
17 7 21
17 29 97
17 34 54
17 44 61
17 52 3
17 65 52
17 66 12
17 75 79
17 76 27
17 84 77
17 94 66
18 13 72
18 30 31
18 41 86
18 63 35
18 66 72
18 79 60
18 83 47
18 92 11
18 98 68
18 99 74
19 2 6
19 20 41
19 26 46
19 30 20
19 34 51
19 35 42
19 97 40
19 98 94
20 1 16
20 53 21
21 7 8
21 8 61
21 29 39
21 37 59
21 57 60
21 59 7
21 61 70
21 63 32
21 93 95
21 96 52
22 4 55
22 26 29
22 28 19
22 40 95
22 64 61
23 24 71
23 67 10
24 6 99
24 8 52
24 11 40
24 15 95
24 62 93
24 78 61
24 83 46
24 94 58
25 7 52
25 9 31
25 11 66
25 14 35
25 22 95
25 30 38
25 92 96
25 98 86
26 7 60
26 9 85
26 13 25
26 21 58
26 30 98
26 31 98
26 36 70
26 55 5
26 79 100
26 85 38
26 93 27
26 95 87
27 6 29
27 11 23
27 31 55
27 63 53
27 66 94
27 67 55
27 74 63
27 84 44
28 12 69
28 43 99
28 51 69
28 53 55
28 88 99
28 92 53
29 21 91
29 28 28
29 35 36
29 37 74
29 47 18
29 76 55
29 80 2
29 81 28
29 84 45
29 86 71
30 9 19
30 11 89
30 23 48
30 47 94
30 49 11
30 66 98
30 74 55
30 85 13
31 22 37
31 26 6
31 29 80
31 37 28
31 42 47
31 48 93
31 62 13
31 79 89
31 94 16
32 12 40
32 28 100
32 55 95
32 88 22
32 98 72
33 22 53
33 42 31
34 1 78
34 27 98
34 61 50
34 62 81
34 67 94
34 79 82
34 88 16
35 16 47
35 17 40
35 23 53
35 25 92
35 44 93
35 47 80
35 61 58
35 62 78
36 14 96
36 20 13
36 27 82
36 44 5
36 65 59
36 73 60
36 95 56
36 99 58
37 3 66
37 12 5
37 19 40
37 24 66
37 27 71
37 65 80
37 67 46
37 88 87
38 13 11
38 35 5
38 48 5
38 96 84
39 8 51
39 10 94
39 16 15
39 42 91
39 59 10
39 85 57
39 86 85
40 2 75
40 15 35
40 32 82
40 35 6
40 38 77
40 50 2
40 53 57
40 81 87
40 90 37
40 95 2
41 13 27
41 50 27
41 53 49
41 54 67
41 63 60
41 69 27
41 77 69
41 88 2
41 91 3
41 94 99
42 6 55
42 9 64
42 14 83
42 25 96
42 39 5
42 41 99
42 45 100
42 52 88
42 59 43
43 3 31
43 16 3
43 34 26
43 52 31
43 64 86
43 70 58
43 72 82
43 88 53
43 92 20
44 10 39
44 21 93
44 26 1
44 36 62
44 37 13
44 47 92
44 51 9
44 73 76
44 84 21
44 87 37
45 2 22
45 22 25
45 35 86
45 38 77
45 47 86
45 96 31
45 97 57
46 15 69
46 16 48
46 44 16
46 72 15
46 77 67
46 91 68
46 92 27
47 24 45
47 26 91
47 58 15
47 63 2
47 78 31
47 94 40
48 14 45
48 20 1
48 39 34
48 47 3
48 50 16
48 57 92
49 6 64
49 44 97
49 47 56
49 53 70
49 61 100
49 67 70
49 77 11
49 90 1
49 93 57
50 11 85
50 12 83
50 19 94
50 51 38
50 75 38
50 76 77
50 91 66
51 17 43
51 28 85
51 29 2
51 31 90
51 66 57
51 82 83
51 94 77
52 9 61
52 15 88
52 53 95
52 63 70
52 65 48
52 80 95
53 11 16
53 29 95
53 41 20
53 49 79
53 69 71
54 29 48
54 30 28
54 39 67
54 78 46
54 93 24
55 4 6
55 7 15
55 10 39
55 12 60
55 19 46
55 44 38
55 45 66
55 46 8
55 53 100
55 82 16
56 10 13
56 25 56
56 26 40
56 69 25
56 73 89
56 75 1
56 81 38
57 7 73
57 10 25
57 68 61
58 4 39
58 9 96
58 29 7
58 39 36
58 44 10
58 47 28
58 55 93
58 75 96
58 77 62
58 82 31
58 88 64
58 97 84
59 26 19
59 38 48
59 51 20
59 61 81
59 64 50
59 81 82
59 82 13
59 96 18
60 15 4
60 29 88
60 35 68
60 37 7
60 40 46
60 50 57
60 54 69
60 62 12
60 91 79
61 12 70
61 19 38
61 20 1
61 40 16
61 54 86
61 62 100
61 67 25
62 10 60
62 18 67
62 31 12
62 45 57
62 78 78
62 87 77
62 95 21
63 1 43
63 11 48
63 44 75
63 48 43
63 50 44
63 59 27
63 79 90
63 80 18
63 83 81
64 4 98
64 25 74
64 45 32
64 49 40
64 65 16
64 88 22
64 92 66
64 93 73
65 6 90
65 8 70
65 17 62
65 21 65
65 22 59
65 23 51
65 31 31
65 38 56
65 42 99
65 51 64
65 71 3
65 76 11
66 15 49
66 39 5
66 59 72
66 64 37
66 68 65
66 88 98
66 92 65
67 25 80
67 38 63
67 42 78
67 43 59
67 57 65
67 98 10
68 15 96
68 33 34
68 69 78
69 5 85
69 19 15
69 26 72
69 27 6
69 51 64
69 57 27
69 60 89
69 76 98
70 7 39
70 8 83
70 11 36
70 13 15
70 36 82
70 38 98
70 56 95
70 58 8
70 77 11
70 80 26
70 83 88
70 95 17
71 1 53
71 5 67
71 30 63
71 32 3
71 38 92
71 39 34
72 30 54
72 37 4
72 57 29
72 73 74
72 75 76
73 10 67
73 12 78
73 50 65
73 59 4
73 66 27
73 67 31
73 72 90
73 80 81
73 92 79
74 14 34
74 20 48
74 25 91
74 46 83
74 50 7
74 53 54
74 60 88
